content,score,label,clean_text
kadang lancar kadang error tergantung jaringan banget,3,netral,kadang lancar kadang error gantung jaring banget
driver membatalkan pesanan seenaknya sangat kecewa ya,1,negatif,driver batal pesan enak sangat kecewa
terima kasih gojek sangat membantu mobilitas saya ya,5,positif,terima kasih gojek sangat bantu mobilitas ya
kadang lancar kadang error tergantung jaringan deh,3,netral,kadang lancar kadang error gantung jaring deh
fiturnya standar sama seperti aplikasi lain sih,3,netral,fiturnya standar sama aplikasi sih
aplikasi gojek sangat membantu dan cepat ya,5,positif,aplikasi gojek sangat bantu cepat
aplikasi gojek sangat membantu dan cepat ya,5,positif,aplikasi gojek sangat bantu cepat
promo dan diskon nya banyak sangat menguntungkan deh,5,positif,promo diskon nya banyak sangat untung deh
fitur gopay memudahkan transaksi sehari hari nih,5,positif,fitur gopay mudah transaksi hari hari nih
kadang lancar kadang error tergantung jaringan nih,3,netral,kadang lancar kadang error gantung jaring nih
tampilan aplikasi membingungkan setelah update sih,2,negatif,tampil aplikasi bingung update sih
terima kasih gojek sangat membantu mobilitas saya sih,5,positif,terima kasih gojek sangat bantu mobilitas sih
"driver ramah dan tepat waktu, mantap nih",5,positif,driver ramah tepat waktu mantap nih
cukup membantu meski masih ada kekurangan sih,3,netral,cukup bantu meski ada kurang sih
driver membatalkan pesanan seenaknya sangat kecewa deh,1,negatif,driver batal pesan enak sangat kecewa deh
GPS tidak akurat driver nyasar terus,2,negatif,gps akurat driver nyasar terus
update terbaru semakin lancar dan responsif,5,positif,update baru makin lancar responsif
GPS tidak akurat driver nyasar terus deh,2,negatif,gps akurat driver nyasar terus deh
kadang puas kadang kecewa tergantung driver sih,3,netral,kadang puas kadang kecewa gantung driver sih
aplikasi oke tapi harga kadang mahal deh,3,netral,aplikasi oke harga kadang mahal deh
cukup membantu meski masih ada kekurangan,3,netral,cukup bantu meski ada kurang
aplikasi gojek sangat membantu dan cepat sih,5,positif,aplikasi gojek sangat bantu cepat sih
kadang lancar kadang error tergantung jaringan nih,3,netral,kadang lancar kadang error gantung jaring nih
terima kasih gojek sangat membantu mobilitas saya nih,5,positif,terima kasih gojek sangat bantu mobilitas nih
cukup membantu meski masih ada kekurangan nih,3,netral,cukup bantu meski ada kurang nih
pelayanan driver sopan dan profesional deh,5,positif,layan driver sopan profesional deh
pelayanan driver sopan dan profesional ya,4,positif,layan driver sopan profesional
pembayaran gopay sering gagal saat checkout banget,2,negatif,bayar gopay sering gagal checkout banget
kadang lancar kadang error tergantung jaringan sih,3,netral,kadang lancar kadang error gantung jaring sih
promo dan diskon nya banyak sangat menguntungkan banget,4,positif,promo diskon nya banyak sangat untung banget
pembayaran gopay sering gagal saat checkout banget,2,negatif,bayar gopay sering gagal checkout banget
update terbaru semakin lancar dan responsif deh,4,positif,update baru makin lancar responsif deh
aplikasi sering error dan force close nih,1,negatif,aplikasi sering error force close nih
terima kasih gojek sangat membantu mobilitas saya sih,4,positif,terima kasih gojek sangat bantu mobilitas sih
perlu banyak perbaikan tapi masih bisa dipakai nih,3,netral,perlu banyak baik masih pakai nih
lumayan untuk dipakai sehari hari banget,3,netral,lumayan pakai hari hari banget
"driver ramah dan tepat waktu, mantap banget",5,positif,driver ramah tepat waktu mantap banget
sangat recommended aplikasi ojek online terbaik deh,4,positif,sangat recommended aplikasi ojek online baik deh
sangat recommended aplikasi ojek online terbaik banget,5,positif,sangat recommended aplikasi ojek online baik banget
aplikasi biasa saja tidak ada yang istimewa sih,3,netral,aplikasi biasa tidak yang istimewa sih
sangat kecewa dengan pelayanan akhir akhir ini sih,2,negatif,sangat kecewa layan akhir akhir sih
sangat recommended aplikasi ojek online terbaik banget,4,positif,sangat recommended aplikasi ojek online baik banget
perlu banyak perbaikan tapi masih bisa dipakai,3,netral,perlu banyak baik masih pakai
lumayan untuk dipakai sehari hari ya,3,netral,lumayan pakai hari hari
sangat recommended aplikasi ojek online terbaik sih,4,positif,sangat recommended aplikasi ojek online baik sih
kadang lancar kadang error tergantung jaringan nih,3,netral,kadang lancar kadang error gantung jaring nih
puas dengan layanan gofood pengiriman cepat ya,5,positif,puas layan gofood kirim cepat
"driver ramah dan tepat waktu, mantap sih",5,positif,driver ramah tepat waktu mantap sih
aplikasi oke tapi harga kadang mahal nih,3,netral,aplikasi oke harga kadang mahal nih
aplikasi biasa saja tidak ada yang istimewa banget,3,netral,aplikasi biasa tidak yang istimewa banget
aplikasi biasa saja tidak ada yang istimewa deh,3,netral,aplikasi biasa tidak yang istimewa deh
aplikasi biasa saja tidak ada yang istimewa deh,3,netral,aplikasi biasa tidak yang istimewa deh
pelayanan driver sopan dan profesional deh,4,positif,layan driver sopan profesional deh
fitur gopay memudahkan transaksi sehari hari nih,4,positif,fitur gopay mudah transaksi hari hari nih
aplikasi sering error dan force close banget,2,negatif,aplikasi sering error force close banget
sangat kecewa dengan pelayanan akhir akhir ini ya,2,negatif,sangat kecewa layan akhir akhir ya
fitur gopay memudahkan transaksi sehari hari deh,5,positif,fitur gopay mudah transaksi hari hari deh
perlu banyak perbaikan tapi masih bisa dipakai sih,3,netral,perlu banyak baik masih pakai sih
aplikasi oke tapi harga kadang mahal ya,3,netral,aplikasi oke harga kadang mahal
"driver ramah dan tepat waktu, mantap ya",5,positif,driver ramah tepat waktu mantap
"driver ramah dan tepat waktu, mantap sih",4,positif,driver ramah tepat waktu mantap sih
aplikasi bagus tidak pernah error,5,positif,aplikasi bagus pernah error
fiturnya standar sama seperti aplikasi lain banget,3,netral,fiturnya standar sama aplikasi banget
sangat recommended aplikasi ojek online terbaik sih,5,positif,sangat recommended aplikasi ojek online baik sih
aplikasi bagus tidak pernah error banget,5,positif,aplikasi bagus pernah error banget
GPS tidak akurat driver nyasar terus banget,1,negatif,gps akurat driver nyasar terus banget
update terbaru semakin lancar dan responsif nih,4,positif,update baru makin lancar responsif nih
so so masih perlu banyak improvement nih,3,netral,so so perlu banyak improvement nih
harga tiba tiba naik tanpa alasan jelas ya,2,negatif,harga tiba tiba naik alas jelas
pembayaran gopay sering gagal saat checkout ya,1,negatif,bayar gopay sering gagal checkout
perlu banyak perbaikan tapi masih bisa dipakai sih,3,netral,perlu banyak baik masih pakai sih
kadang lancar kadang error tergantung jaringan nih,3,netral,kadang lancar kadang error gantung jaring nih
pembayaran gopay sering gagal saat checkout deh,2,negatif,bayar gopay sering gagal checkout deh
sangat recommended aplikasi ojek online terbaik nih,4,positif,sangat recommended aplikasi ojek online baik nih
so so masih perlu banyak improvement,3,netral,so so perlu banyak improvement
harga tiba tiba naik tanpa alasan jelas nih,1,negatif,harga tiba tiba naik alas jelas nih
aplikasi gojek sangat membantu dan cepat banget,5,positif,aplikasi gojek sangat bantu cepat banget
aplikasi biasa saja tidak ada yang istimewa deh,3,netral,aplikasi biasa tidak yang istimewa deh
aplikasi bagus tidak pernah error banget,5,positif,aplikasi bagus pernah error banget
kadang puas kadang kecewa tergantung driver deh,3,netral,kadang puas kadang kecewa gantung driver deh
"driver ramah dan tepat waktu, mantap",5,positif,driver ramah tepat waktu mantap
susah dapat driver padahal jam sibuk deh,1,negatif,susah driver padahal jam sibuk deh
susah dapat driver padahal jam sibuk nih,2,negatif,susah driver padahal jam sibuk nih
sangat recommended aplikasi ojek online terbaik,5,positif,sangat recommended aplikasi ojek online baik
GPS tidak akurat driver nyasar terus ya,1,negatif,gps akurat driver nyasar terus
driver membatalkan pesanan seenaknya sangat kecewa ya,2,negatif,driver batal pesan enak sangat kecewa
lumayan untuk dipakai sehari hari,3,netral,lumayan pakai hari hari
kadang lancar kadang error tergantung jaringan deh,3,netral,kadang lancar kadang error gantung jaring deh
promo dan diskon nya banyak sangat menguntungkan sih,4,positif,promo diskon nya banyak sangat untung sih
GPS tidak akurat driver nyasar terus banget,1,negatif,gps akurat driver nyasar terus banget
harga tiba tiba naik tanpa alasan jelas,2,negatif,harga tiba tiba naik alas jelas
aplikasi oke tapi harga kadang mahal nih,3,netral,aplikasi oke harga kadang mahal nih
aplikasi lemot dan sering nge-lag sih,2,negatif,aplikasi lot sering nge lag sih
aplikasi oke tapi harga kadang mahal nih,3,netral,aplikasi oke harga kadang mahal nih
promo dan diskon nya banyak sangat menguntungkan banget,4,positif,promo diskon nya banyak sangat untung banget
GPS tidak akurat driver nyasar terus banget,2,negatif,gps akurat driver nyasar terus banget
lumayan untuk dipakai sehari hari nih,3,netral,lumayan pakai hari hari nih
pelayanan driver sopan dan profesional sih,4,positif,layan driver sopan profesional sih
driver membatalkan pesanan seenaknya sangat kecewa sih,1,negatif,driver batal pesan enak sangat kecewa sih
pelayanan driver sopan dan profesional,4,positif,layan driver sopan profesional
aplikasi sering error dan force close ya,1,negatif,aplikasi sering error force close
