content,score,label,clean_text
GPS tidak akurat driver nyasar terus nih,2,negatif,gps akurat driver nyasar terus nih
sangat recommended aplikasi ojek online terbaik,5,positif,sangat recommended aplikasi ojek online baik
aplikasi gojek sangat membantu dan cepat banget,5,positif,aplikasi gojek sangat bantu cepat banget
aplikasi biasa saja tidak ada yang istimewa nih,3,netral,aplikasi biasa tidak yang istimewa nih
puas dengan layanan gofood pengiriman cepat sih,5,positif,puas layan gofood kirim cepat sih
kadang lancar kadang error tergantung jaringan,3,netral,kadang lancar kadang error gantung jaring
aplikasi sering error dan force close ya,2,negatif,aplikasi sering error force close
perlu banyak perbaikan tapi masih bisa dipakai banget,3,netral,perlu banyak baik masih pakai banget
"driver ramah dan tepat waktu, mantap ya",5,positif,driver ramah tepat waktu mantap
fiturnya standar sama seperti aplikasi lain deh,3,netral,fiturnya standar sama aplikasi deh
sangat recommended aplikasi ojek online terbaik deh,4,positif,sangat recommended aplikasi ojek online baik deh
harga tiba tiba naik tanpa alasan jelas banget,1,negatif,harga tiba tiba naik alas jelas banget
kadang puas kadang kecewa tergantung driver sih,3,netral,kadang puas kadang kecewa gantung driver sih
driver membatalkan pesanan seenaknya sangat kecewa ya,2,negatif,driver batal pesan enak sangat kecewa
biasa saja tidak buruk tidak juga bagus nih,3,netral,biasa buruk tidak juga bagus nih
"driver ramah dan tepat waktu, mantap nih",4,positif,driver ramah tepat waktu mantap nih
sangat recommended aplikasi ojek online terbaik,5,positif,sangat recommended aplikasi ojek online baik
fiturnya standar sama seperti aplikasi lain deh,3,netral,fiturnya standar sama aplikasi deh
update terbaru semakin lancar dan responsif deh,5,positif,update baru makin lancar responsif deh
pelayanan driver sopan dan profesional,4,positif,layan driver sopan profesional
kadang lancar kadang error tergantung jaringan banget,3,netral,kadang lancar kadang error gantung jaring banget
cukup membantu meski masih ada kekurangan,3,netral,cukup bantu meski ada kurang
promo dan diskon nya banyak sangat menguntungkan sih,4,positif,promo diskon nya banyak sangat untung sih
perlu banyak perbaikan tapi masih bisa dipakai deh,3,netral,perlu banyak baik masih pakai deh
promo dan diskon nya banyak sangat menguntungkan,4,positif,promo diskon nya banyak sangat untung
aplikasi gojek sangat membantu dan cepat,5,positif,aplikasi gojek sangat bantu cepat
perlu banyak perbaikan tapi masih bisa dipakai sih,3,netral,perlu banyak baik masih pakai sih
aplikasi bagus tidak pernah error deh,5,positif,aplikasi bagus pernah error deh
aplikasi lemot dan sering nge-lag,2,negatif,aplikasi lot sering nge lag
driver membatalkan pesanan seenaknya sangat kecewa banget,2,negatif,driver batal pesan enak sangat kecewa banget
aplikasi biasa saja tidak ada yang istimewa deh,3,netral,aplikasi biasa tidak yang istimewa deh
cukup membantu meski masih ada kekurangan deh,3,netral,cukup bantu meski ada kurang deh
biasa saja tidak buruk tidak juga bagus banget,3,netral,biasa buruk tidak juga bagus banget
fiturnya standar sama seperti aplikasi lain,3,netral,fiturnya standar sama aplikasi
sangat recommended aplikasi ojek online terbaik ya,5,positif,sangat recommended aplikasi ojek online baik
terima kasih gojek sangat membantu mobilitas saya sih,4,positif,terima kasih gojek sangat bantu mobilitas sih
customer service lambat merespon keluhan nih,2,negatif,customer service lambat merespon keluh nih
cukup membantu meski masih ada kekurangan deh,3,netral,cukup bantu meski ada kurang deh
customer service lambat merespon keluhan,2,negatif,customer service lambat merespon keluh
promo dan diskon nya banyak sangat menguntungkan deh,4,positif,promo diskon nya banyak sangat untung deh
update terbaru semakin lancar dan responsif ya,5,positif,update baru makin lancar responsif
GPS tidak akurat driver nyasar terus banget,2,negatif,gps akurat driver nyasar terus banget
aplikasi bagus tidak pernah error,4,positif,aplikasi bagus pernah error
sangat kecewa dengan pelayanan akhir akhir ini banget,2,negatif,sangat kecewa layan akhir akhir banget
"driver ramah dan tepat waktu, mantap deh",4,positif,driver ramah tepat waktu mantap deh
biasa saja tidak buruk tidak juga bagus deh,3,netral,biasa buruk tidak juga bagus deh
fitur gopay memudahkan transaksi sehari hari deh,5,positif,fitur gopay mudah transaksi hari hari deh
aplikasi biasa saja tidak ada yang istimewa deh,3,netral,aplikasi biasa tidak yang istimewa deh
lumayan untuk dipakai sehari hari,3,netral,lumayan pakai hari hari
perlu banyak perbaikan tapi masih bisa dipakai,3,netral,perlu banyak baik masih pakai
so so masih perlu banyak improvement ya,3,netral,so so perlu banyak improvement
kadang puas kadang kecewa tergantung driver nih,3,netral,kadang puas kadang kecewa gantung driver nih
